correctedspeciesname,catalognumber,n,dex,sin,%dex,%sin,island,correctedlocality,decimallatitudeUSE,decimallongitudeUSE,coordinateuncertaintyinMetersUSE
Auriculella ambusta,17016,3,,3,0,1,Oahu,"Waianae Mts.; Palehua; Maunuwai Valley, bottom of",21.381961,-158.099893,301
Auriculella ambusta,133825,6,,6,0,1,Oahu,Waianae Mountains; Kaloi = Palihua {=Palehua} Ridge between upper branches of Kaloi Gulch,21.388135,-158.097683,1454
Auriculella ambusta,133829,5,,5,0,1,Oahu,Waianae Mountains; Kaloi = Palehua; Von Holt place; top of ridge,21.388694,-158.097125,1311
Auriculella ambusta,59313,27,,27,0,1,Oahu,Waianae Mts.; Palehuaiki; S.W. slope,21.389138,-158.093866,1048
Auriculella ambusta,79662,1,,1,0,1,Oahu,Waianae Mts.; Palehuaiki,21.393667,-158.099629,719
Auriculella ambusta,16848,1,,1,0,1,Oahu,Waianae Mts.; Palehuaiki; near Green Peak,21.393846,-158.097997,534
Auriculella ambusta,183531,2,,2,0,1,Oahu,Waianae Mountains; Central Nanakuli,21.39436667,-158.1205667,
Auriculella ambusta,191500,9,6,3,0.666666667,0.333333333,Oahu,Waianae Mountains; Palehuaiki?,21.394986,-158.099286,2275
Auriculella ambusta,123420,14,,14,0,1,Oahu,Waianae Mountains; Kaloi Gulch 5>6; Palehua Loc. W490A-1,21.39586035,-158.0995361,100
Auriculella ambusta,123424,8,,8,0,1,Oahu,Waianae Mountains; Kaloi Gulch 5>6; Palehua Loc. W490A-1,21.39586035,-158.0995361,100
Auriculella ambusta,93052,4,1,3,0.25,0.75,Oahu,Waianae Mountains; Palehua,21.3958639,-158.0988083,
Auriculella ambusta,191489,5,,5,0,1,Oahu,Waianae Mountains; Palehua,21.3958639,-158.0988083,
Auriculella ambusta,186825,9,,9,0,1,Oahu,Waianae Mountains; Nanakuli,21.39639,-158.116774,3717
Auriculella ambusta,194403,3,,3,0,1,Oahu,Waianae Mountains; Nanakuli. Lot. 1228,21.39639,-158.116774,3717
Auriculella ambusta,"54069, 54081, 54130, 54148",21,0,21,0,1,Oahu,"Waianae Mts.; Nanakuli; NW of center, about 2nd valley E of Green Peak",21.3963944,-158.1284306,
Auriculella ambusta,132623,4,1,3,0.25,0.75,Oahu,"Waianae Mountains; Mauna Kapu to Palikea, along backbone",21.396644,-158.099142,1022
Auriculella ambusta,176455,34,,34,0,1,Oahu,Waianae Mountains; Manuwaikaalai Gulch; Loc. 5 = W470 A-1. SEE MAP,21.396761,-158.090903,73
Auriculella ambusta,128019,1,0,1,0,1,Oahu,Waianae Mountains; Nanakuli; Loc. 5 = W2-2c,21.397363,-158.107139,1983
Auriculella ambusta,33146,36,,36,0,1,Oahu,Waianae Mts.; Palehuaiki; lower part of valley back of,21.39764,-158.097222,408
Auriculella ambusta,33125,18,,18,0,1,Oahu,"Waianae Mts.; Palehua; Black Bull Valley, bottom of",21.399099,-158.103347,408
Auriculella ambusta,176419,1,,1,0,1,Oahu,Waianae Mountains; Manuwaikaalai Gulch; Loc. 3 = W470-7. SEE MAP,21.399594,-158.089896,100
Auriculella ambusta,16997,9,,9,0,1,Oahu,"Waianae Mts.; Palehua; Maunakapu, below = Loe W 470-2",21.401115,-158.098047,1101
Auriculella ambusta,176258,8,,8,0,1,Oahu,Waianae Mountains; Kaaikukai Gulch; Loc. 1a = w460 B-5. SEE MAP,21.401548,-158.090372,50
Auriculella ambusta,126802,15,,15,0,1,Oahu,Waianae Mountains; Kaaikukai; Loc. 4,21.402839,-158.081133,2295
Auriculella ambusta,210722,19,,19,0,1,Oahu,Waianae Mountains; Kaaikukai; Stream bed on Army Road; 1st branch south of main Kaaikukai Stream; Loc. 3,21.402839,-158.081133,2295
Auriculella ambusta,210773,15,,15,0,1,Oahu,Waianae Mountains; Kaaikukai; on Army Road; streambed; southernmost fork from Kaaikukai; Loc. 3,21.402839,-158.081133,2295
Auriculella ambusta,176375,33,,33,0,1,Oahu,Waianae Mountains; Kaaikukai Gulch; Loc. 1c = W460 B-3. SEE MAP,21.403397,-158.091164,50
Auriculella ambusta,177408,12,,12,0,1,Oahu,"Waianae Mountains; Kaaikukai Gulch; above Loc. 1 on a spur ridge, on side of trail; Loc. 2",21.403528,-158.081307,2911
