"x","y","richness"
-158.282625,21.574875,3
-158.282625,21.577125,5
-158.280375,21.574875,9
-158.280375,21.577125,5
-158.278125,21.572625,8
-158.278125,21.574875,9
-158.278125,21.577125,5
-158.278125,21.579375,5
-158.275875,21.572625,9
-158.275875,21.574875,9
-158.275875,21.577125,5
-158.275875,21.579375,5
-158.273625,21.570375,5
-158.273625,21.572625,9
-158.273625,21.574875,9
-158.273625,21.577125,5
-158.273625,21.579375,5
-158.271375,21.570375,9
-158.271375,21.572625,9
-158.271375,21.574875,9
-158.271375,21.577125,5
-158.271375,21.579375,5
-158.269125,21.568125,5
-158.269125,21.570375,9
-158.269125,21.572625,9
-158.269125,21.574875,9
-158.269125,21.577125,8
-158.269125,21.579375,5
-158.266875,21.565875,5
-158.266875,21.568125,9
-158.266875,21.570375,9
-158.266875,21.572625,9
-158.266875,21.574875,9
-158.266875,21.577125,8
-158.266875,21.579375,5
-158.264625,21.563625,5
-158.264625,21.565875,8
-158.264625,21.568125,9
-158.264625,21.570375,9
-158.264625,21.572625,9
-158.264625,21.574875,9
-158.264625,21.577125,8
-158.264625,21.579375,5
-158.262375,21.563625,8
-158.262375,21.565875,9
-158.262375,21.568125,9
-158.262375,21.570375,9
-158.262375,21.572625,9
-158.262375,21.574875,9
-158.262375,21.577125,9
-158.262375,21.579375,5
-158.260125,21.561375,5
-158.260125,21.563625,9
-158.260125,21.565875,9
-158.260125,21.568125,9
-158.260125,21.570375,9
-158.260125,21.572625,9
-158.260125,21.574875,9
-158.260125,21.577125,9
-158.260125,21.579375,5
-158.257875,21.559125,5
-158.257875,21.561375,9
-158.257875,21.563625,9
-158.257875,21.565875,9
-158.257875,21.568125,9
-158.257875,21.570375,9
-158.257875,21.572625,9
-158.257875,21.574875,9
-158.257875,21.577125,9
-158.257875,21.579375,5
-158.255625,21.556875,5
-158.255625,21.559125,9
-158.255625,21.561375,9
-158.255625,21.563625,9
-158.255625,21.565875,9
-158.255625,21.568125,9
-158.255625,21.570375,9
-158.255625,21.572625,9
-158.255625,21.574875,9
-158.255625,21.577125,9
-158.255625,21.579375,8
-158.253375,21.554625,5
-158.253375,21.556875,5
-158.253375,21.559125,9
-158.253375,21.561375,9
-158.253375,21.563625,9
-158.253375,21.565875,9
-158.253375,21.568125,9
-158.253375,21.570375,9
-158.253375,21.572625,9
-158.253375,21.574875,9
-158.253375,21.577125,9
-158.253375,21.579375,8
-158.253375,21.581625,5
-158.251125,21.552375,5
-158.251125,21.554625,5
-158.251125,21.556875,8
-158.251125,21.559125,9
-158.251125,21.561375,9
-158.251125,21.563625,9
-158.251125,21.565875,9
-158.251125,21.568125,9
-158.251125,21.570375,9
-158.251125,21.572625,9
-158.251125,21.574875,9
-158.251125,21.577125,9
-158.251125,21.579375,9
-158.251125,21.581625,5
-158.248875,21.550125,5
-158.248875,21.552375,5
-158.248875,21.554625,5
-158.248875,21.556875,9
-158.248875,21.559125,9
-158.248875,21.561375,9
-158.248875,21.563625,9
-158.248875,21.565875,9
-158.248875,21.568125,9
-158.248875,21.570375,9
-158.248875,21.572625,9
-158.248875,21.574875,9
-158.248875,21.577125,9
-158.248875,21.579375,8
-158.248875,21.581625,5
-158.246625,21.547875,5
-158.246625,21.550125,5
-158.246625,21.552375,5
-158.246625,21.554625,9
-158.246625,21.556875,9
-158.246625,21.559125,9
-158.246625,21.561375,9
-158.246625,21.563625,9
-158.246625,21.565875,9
-158.246625,21.568125,9
-158.246625,21.570375,9
-158.246625,21.572625,9
-158.246625,21.574875,9
-158.246625,21.577125,9
-158.246625,21.579375,8
-158.246625,21.581625,5
-158.244375,21.545625,5
-158.244375,21.547875,5
-158.244375,21.550125,5
-158.244375,21.552375,9
-158.244375,21.554625,9
-158.244375,21.556875,9
-158.244375,21.559125,9
-158.244375,21.561375,9
-158.244375,21.563625,9
-158.244375,21.565875,9
-158.244375,21.568125,9
-158.244375,21.570375,9
-158.244375,21.572625,9
-158.244375,21.574875,9
-158.244375,21.577125,9
-158.244375,21.579375,8
-158.244375,21.581625,5
-158.242125,21.543375,5
-158.242125,21.545625,5
-158.242125,21.547875,5
-158.242125,21.550125,9
-158.242125,21.552375,9
-158.242125,21.554625,9
-158.242125,21.556875,9
-158.242125,21.559125,9
-158.242125,21.561375,9
-158.242125,21.563625,9
-158.242125,21.565875,9
-158.242125,21.568125,9
-158.242125,21.570375,9
-158.242125,21.572625,9
-158.242125,21.574875,9
-158.242125,21.577125,9
-158.242125,21.579375,9
-158.242125,21.581625,5
-158.239875,21.538875,5
-158.239875,21.541125,5
-158.239875,21.543375,5
-158.239875,21.545625,9
-158.239875,21.547875,9
-158.239875,21.550125,9
-158.239875,21.552375,9
-158.239875,21.554625,9
-158.239875,21.556875,9
-158.239875,21.559125,9
-158.239875,21.561375,9
